X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.150892501,4.60338777684886,354728,A001135298,10512645,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.146355419,4.57869139384967,354729,A001134385,10512646,2020/02/29 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.1292371759999,4.5777866268497,354730,A001134143,10512680,2020/03/02 00:00:00+00,2020,CON HERIDOS,CAIDA DE OCUPANTE,TUNJUELITO
-74.125645659,4.72765963284482,354731,A001135289,10512682,2020/03/02 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.094986284,4.66424327684688,354732,A001134627,10512683,2020/03/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,TEUSAQUILLO
-74.091433158,4.56641043185009,354733,A001135334,10512686,2020/03/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,SAN CRISTOBAL
-74.12203728,4.74599949984423,354734,A001135221,10512692,2020/03/03 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SUBA
-74.124795289,4.68471716784621,354735,A001135314,10512725,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.09792953,4.63336466884792,354736,A001134963,10512728,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.064923184,4.64905386484739,354737,A001134763,10512730,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.165792052,4.58815988884939,354738,A001135394,10512733,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,CIUDAD BOLIVAR
-74.067907524,4.64853331884739,354739,A001134764,10512734,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.112527195,4.54709419285068,354740,A001133953,10512735,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,SAN CRISTOBAL
-74.0997537539999,4.69102938984603,354741,A001134640,10512736,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.1202241239999,4.55513955185048,354742,A001134711,10512739,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,RAFAEL URIBE URIBE
-74.045610081,4.75579667284389,354743,A001135086,10512776,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.13914775,4.57663189884977,354744,A001135438,10512780,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.039097306,4.79755974884259,354745,A001135204,10512788,2020/03/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.089688246,4.73933917184445,354746,A001134579,10512789,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
-74.0512602439999,4.74570965784427,354747,A001135190,10512791,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,SUBA
